IP,Country,City,Temp,Weather
122.35.203.161,South Korea,Seongnam-si,-1.47,Haze
174.217.10.111,United States,,17.89,Clear
187.121.176.91,Brazil,Sao Gabriel,36.71,Clear
176.114.85.116,Germany,Frankfurt am Main,4.87,Clouds
174.59.204.133,United States,Lancaster,0.09,Clear
54.209.112.174,United States,Ashburn,2.32,Clouds
109.185.143.49,Moldova,Chisinau,2.74,Clear
176.114.253.216,Czechia,Prague,2.17,Rain
210.171.87.76,Japan,Kariya,3.06,Clear
24.169.250.142,United States,Leander,13.85,Clouds
IP,Country,City,Temp,Weather
122.35.203.161,South Korea,Seongnam-si,-1.47,Haze
174.217.10.111,United States,,17.89,Clear
187.121.176.91,Brazil,Sao Gabriel,36.71,Clear
176.114.85.116,Germany,Frankfurt am Main,4.87,Clouds
174.59.204.133,United States,Lancaster,0.09,Clear
54.209.112.174,United States,Ashburn,2.32,Clouds
109.185.143.49,Moldova,Chisinau,2.74,Clear
176.114.253.216,Czechia,Prague,2.17,Rain
210.171.87.76,Japan,Kariya,3.06,Clear
24.169.250.142,United States,Leander,13.85,Clouds
